field_name,otu_1,otu_2,otu_3,otu_4,otu_5,otu_6,otu_7,otu_8,otu_9,otu_10,otu_11,otu_12,otu_13,otu_14,otu_15,otu_16,otu_17,otu_18,otu_19,otu_20,otu_21,otu_22,otu_23,otu_24,otu_25,otu_26,otu_27,otu_28,otu_29,otu_30,otu_31,otu_32,otu_33,otu_34,otu_35,otu_36,otu_37,otu_38,otu_39,otu_40,otu_41,otu_42,otu_43,otu_44,otu_45,otu_46,otu_47,otu_48,otu_49,otu_50,otu_51,otu_52,otu_53,otu_54,otu_55,otu_56,otu_57,otu_58,otu_59,otu_60,otu_61,otu_62,otu_63,otu_64,otu_65,otu_66,otu_67,otu_68,otu_69,otu_70,otu_71,otu_72,otu_73,otu_74,otu_75,otu_76,otu_77,otu_78,otu_79,otu_80,otu_81,otu_82,otu_83,otu_84,otu_85,otu_86,otu_87,otu_88,otu_89,otu_90,otu_91,otu_92,otu_93,otu_94,otu_95,otu_96,otu_97,otu_98,otu_99,otu_100,otu_101,otu_102,otu_103,otu_104,otu_105,otu_106,otu_107,otu_108,otu_109,otu_110,otu_111,otu_112,otu_113,otu_114,otu_115,otu_116,otu_117,otu_118,otu_119,otu_120,otu_121,otu_122,otu_123,otu_124,otu_125,otu_126,otu_127,otu_128,otu_129,otu_130,otu_131,otu_132,otu_133,otu_134,otu_135,otu_136,otu_137,otu_138,otu_139,otu_140,otu_141,otu_142,otu_143,otu_144,otu_145,otu_146,otu_147,otu_148,otu_149,otu_150,otu_151,otu_152
BBRP1,65.66666666666667,186.55555555555554,189.33333333333334,33,402.1111111111111,88.88888888888889,121.55555555555556,264.6666666666667,9.666666666666668,19.11111111111111,165,0.8888888888888887,16.444444444444443,0,63.22222222222222,4,38.222222222222214,1.3333333333333333,24.555555555555557,12.333333333333332,0,0,18.666666666666668,10.777777777777779,6.666666666666666,0,0,44.55555555555556,24.555555555555557,4.888888888888889,0,10.88888888888889,0,35.33333333333333,3,0,38,19.666666666666668,0,0,0,0,0,4.888888888888889,6.333333333333334,0,0,207.44444444444446,86.22222222222223,1.2222222222222223,0,0,0,25.22222222222222,2.2222222222222228,0,22.444444444444443,5.222222222222223,0,0,19.77777777777778,0,10.333333333333334,0,0,2.888888888888889,0,16.444444444444443,51.77777777777778,19.22222222222222,0,3.333333333333334,0,7.222222222222223,0,5.777777777777777,0,3.555555555555555,0,0,0,5.111111111111111,0,0,18.11111111111111,0,0,0,0,0,0,0.3333333333333333,1.5555555555555556,0,0,0,0,0,0,4.777777777777778,0,25.444444444444443,0,0,0,0,0,0,0,0,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.888888888888889,0,0,1.4444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,0,0,0,0,0,0,0,0,0
ERRP1,584.5,8,1169.5,0,575.8,166.9,71.5,0,180,159.3,0,62.5,16.9,0,472.6,180,53.3,144,0,14,0,0,6.699999999999999,113.9,105.7,54,0,0,24.3,0.6999999999999998,1.2999999999999998,146.3,0,0.6,25.3,79.4,0,4,38.2,0,0,26.2,0,3.5,3.6999999999999997,194.6,31.399999999999995,0,0,0,0,3.7000000000000006,0,0,0,0,1.2999999999999998,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8000000000000002,0,33.9,0,26.799999999999997,0,8.7,0,0,0,0,0,17.4,0,2.4,0,0,0,0,0,4.5,1.7,3,0,0,0,0,0,0,0,0,0,0,1.2000000000000002,0,0,0,1.9000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGC1,4.400000000000001,37,3.4,448.3999999999999,167.69999999999996,77.1,219.4,0,69.1,3,0,2.4,503.7,0,0,0,71.6,0,151.3,210.7,899.5,8.2,1.6,0,0.6999999999999998,1.2,0,0,69.1,0,20.8,0,47.7,0,1.5,74.7,0,17.1,33.6,0,81.3,0,0,0,77.4,0,0,0,0,0,0,2.6,0,0,11.4,101.30000000000001,0,0,0,2.7,0,0,0,1.7000000000000002,0,0,0,0,0,0,0,0,65.6,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,1.7999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGREM1,400.9,496.3,0,131.1,150.3,147.7,74.2,254.4,627.2,219.4,61.400000000000006,108.3,183.5,4.1,0,0,29,60.9,63.5,95.5,114,64.2,0,7.800000000000001,12.8,0,0,0,17.4,33.8,26.8,0,0,22.3,11.5,0,0,5.4,0,0,0,0,0,6,38,0,0,0,22.6,0,72.3,60.9,226.9,0,104.5,0,0,0,0,15.700000000000001,2,0,0,17.400000000000002,0,0,0,6.7,0,0,2.8,0,0,0,7.699999999999999,1.5,0,0,9.5,0,42.8,0,4.9,0,0,0,0,0,0,0,0,0,0,0,16.300000000000004,0,0,0,0,0,1.3,0,0,2.9000000000000004,3.0999999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,2.7,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
FGRP1,105.8,324.1,3.7,5.800000000000001,454.8,176,117.8,1.8,269.4,401.6,17.100000000000005,173.4,33.3,771,0,28.3,64.7,67.2,152.4,17,142.1,334,0,29.700000000000003,16.8,5.4,0,0,44.8,0,61,0,2.6999999999999997,0,4.8,239.4,0,23.4,209.5,0,0,28.700000000000003,0,3.2000000000000006,9,6.5,12.8,0,0,0,134.09999999999997,7.3,0,0,18.8,4.4,0,0,63.7,37.4,0,0,0,3,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,1.4,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,14.6,0,11.7,0,0,0,0,0,0,4,1.4,0,0,1.7000000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0
FLC1,74.2,13.399999999999999,702.2,604.5,176.3,224.3,321.8,0.5,72.5,14.899999999999999,0.6,36.8,152.9,0.8999999999999999,1.2999999999999998,19.3,110.60000000000001,6.4,11.2,56,6.7,169.9,56.29999999999999,6.1,4.9,8.2,495.7,0,44,1.5,6.5,0,119.10000000000001,0,7.699999999999999,3.9,0,165.3,2.4,0,0.8999999999999999,0,78.5,1.8,34.6,0,6.3,0,0,13.4,0,1.3,0,0,0,10.6,16.4,0,11.9,4.3,0,0,2.4,0,4.6,151.09999999999997,11.199999999999998,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,1.7,0,0,0,0,0,0,0,2.1,0.8999999999999999,0,0,0,0,0,0,0,0,0,1.5,0,0,11.6,4.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0
FLC2,1.6,0,186,182.4,629.6,132.6,27.7,11.2,21.9,0,0,0,494.5,10.800000000000002,0,0.6999999999999998,23.7,0,55.29999999999999,291.5,114.2,12.4,0,0,0,0,5.5,0,6.5,0,0,0,44.2,2.2,4.6,6.5,0,139.7,0,0,148.2,0,371.8,21.5,26.7,0,0.8000000000000002,0,0,0,0,0,0,0,12.699999999999998,16,0,0,0,0,0,0,0,0,0,0,58.29999999999999,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.899999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLREM1,261.4,341,53,118.09999999999998,219.9,197.4,255,153.5,120.5,260.2,457.2,128.8,46.9,42.2,57.8,94.9,103,44.4,20.100000000000005,21,155.7,232.8,3.4000000000000004,20.6,44.3,6.800000000000001,0,0,77.4,85.20000000000002,3,131,8.4,8.2,25.2,68,0,32.7,4.4,60.3,0,18.1,0,9.5,9.1,11.9,24,0,35.3,24.2,0,0.6000000000000001,2.9000000000000004,22.3,67.8,0,73.8,0,21.2,0,0,0,0,18.1,0,0,0,7.7,0,30,0,0,0,0,0,0,0,3.1,0,1.6,20.8,0.2,0,0,0,0,0,0,13.199999999999998,0,3.2000000000000006,0,3.5999999999999996,0,0,0,0,0,0,7.699999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
FLRP1,138.44444444444446,326.44444444444446,25,337.22222222222223,57.888888888888886,70.55555555555556,189,523.3333333333334,201.22222222222223,176.33333333333331,559.1111111111111,77.33333333333334,83.33333333333333,35.22222222222222,38.333333333333336,0,84.33333333333334,2.111111111111111,0,44.33333333333333,0,14.333333333333332,0,10.555555555555555,16.555555555555557,0,0,0,49.22222222222222,21,0,0,0,61.44444444444444,0,25,64.88888888888889,11,6.5555555555555545,30.666666666666664,0,0,0,5.555555555555555,14.88888888888889,1.4444444444444442,48,0,54.111111111111114,8.333333333333332,0,0,0,0.8888888888888888,81.55555555555557,0,8.222222222222221,13.444444444444446,0,30.333333333333332,1.5555555555555558,0,0,83.55555555555557,0,0,0,7.888888888888889,0,37.66666666666667,0,7.555555555555555,0,0,69.55555555555556,1.3333333333333333,0,0,7.4444444444444455,0,0,0,0,0,0,0,0,0,25.555555555555557,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,5.333333333333333,0,0,0,0,0,0,0,0,1.2222222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLRP4,227.2,159.2,16.9,262.4,31.4,78.1,203.5,547.8,26.5,91.7,201.7,108.1,15.8,2.4,17,0,68.7,2.4,1.2999999999999998,12.2,0,6.5,37.1,52.1,38,0,0,0,52.1,0,0,0,0,56.39999999999999,1,0,121.6,0,0,49.8,0,0,0,0.4000000000000001,3.8,0,3.1,0,148.1,55.4,0.6000000000000001,0,0,10.7,31.6,0,0,18.6,0,3.5,18.4,0,27.2,3.1000000000000005,0,0,0,25.4,0,23.8,1,10.2,0,8.6,30.1,4.6,0,1.7999999999999998,6.3,0,3.5999999999999996,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,6.4,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
