field_key,field_name,wsa
1,BBRP1,62.99070606
2,ERRP1,62.19424876
3,FGC1,52.17152144
4,FGREM1,63.59084215
5,FGRP1,71.44676706
6,FLC1,52.71259621
7,FLC2,60.10462555
8,FLREM1,73.92947718
9,FLRP1,79.54311822
10,FLRP4,81.23580191
11,FLRP5,78.70455804
12,FLRSP1,76.58788942
13,FLRSP2,73.37635853
14,FLRSP3,76.42141286
15,KORP1,78.27566912
16,LPC1,53.09405941
17,LPREM1,39.75730595
18,LPRP1,47.15719064
19,LPRP2,44.54409926
20,MBREM1,43.14599586
21,MBRP1,49.7934579
22,MHRP1,64.18709773
23,MHRP2,75.02275013
24,PHC1,51.17541099
25,PHRP1,68.00552246
